,Retailer,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,year,month,day
32,Foot Locker,2020-03-06,Northeast,New York,New York,Women's Street Footwear,50.0,925,46250.0,16188.0,Outlet,2020,3,6
33,Foot Locker,2020-03-07,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,45000.0,15750.0,Outlet,2020,3,7
34,Foot Locker,2020-03-08,Northeast,New York,New York,Men's aparel,60.0,900,54000.0,16200.0,Outlet,2020,3,8
35,Foot Locker,2020-03-09,Northeast,New York,New York,Women's Apparel,65.0,"1,050",68250.0,17063.0,Outlet,2020,3,9
36,Foot Locker,2020-03-10,Northeast,New York,New York,Men's Street Footwear,60.0,"1,275",76500.0,38250.0,Outlet,2020,3,10
37,Foot Locker,2020-03-11,Northeast,New York,New York,Men's Athletic Footwear,55.0,"1,025",56375.0,16913.0,Outlet,2020,3,11
38,Foot Locker,2020-03-12,Northeast,New York,New York,Women's Street Footwear,50.0,950,47500.0,16625.0,Outlet,2020,3,12
39,Foot Locker,2020-03-13,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,45000.0,15750.0,Outlet,2020,3,13
40,Foot Locker,2020-03-14,Northeast,New York,New York,Men's Apparel,60.0,925,55500.0,16650.0,Outlet,2020,3,14
41,Foot Locker,2020-03-15,Northeast,New York,New York,Women's Apparel,65.0,"1,100",71500.0,17875.0,Outlet,2020,3,15
42,Foot Locker,2020-03-16,Northeast,New York,New York,Men's Street Footwear,60.0,"1,250",75000.0,37500.0,Outlet,2020,3,16
43,Foot Locker,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,55.0,"1,025",56375.0,16913.0,Outlet,2020,3,17
44,Foot Locker,2020-03-18,Northeast,New York,New York,Women's Street Footwear,50.0,950,47500.0,16625.0,Outlet,2020,3,18
45,Foot Locker,2020-03-31,Northeast,New York,New York,Women's Athletic Footwear,50.0,925,46250.0,16188.0,Outlet,2020,3,31
46,Walmart,2020-04-17,Northeast,New York,New York,Men's Apparel,60.0,900,54000.0,16200.0,Outlet,2020,4,17
47,Walmart,2020-04-18,Northeast,New York,New York,Women's Apparel,65.0,"1,075",69875.0,17469.0,Outlet,2020,4,18
48,Walmart,2020-04-19,Northeast,New York,New York,Men's Street Footwear,60.0,"1,200",72000.0,36000.0,Outlet,2020,4,19
49,Walmart,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,55.0,"1,000",55000.0,16500.0,Outlet,2020,4,20
50,Walmart,2020-04-21,Northeast,New York,New York,Women's Street Footwear,50.0,925,46250.0,16188.0,Outlet,2020,4,21
51,Walmart,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,45000.0,15750.0,Outlet,2020,4,22
52,Walmart,2020-04-23,Northeast,New York,New York,Men's Apparel,60.0,900,54000.0,16200.0,Outlet,2020,4,23
53,Walmart,2020-04-24,Northeast,New York,New York,Women's Apparel,65.0,"1,000",65000.0,16250.0,Outlet,2020,4,24
54,Walmart,2020-04-25,Northeast,New York,New York,Men's Apparel,65.0,875,56875.0,17063.0,Outlet,2020,4,25
55,Walmart,2020-04-26,Northeast,New York,New York,Women's Apparel,70.0,"1,000",70000.0,17500.0,Outlet,2020,4,26
56,Walmart,2020-04-27,Northeast,New York,New York,Men's Street Footwear,65.0,"1,150",74750.0,37375.0,Outlet,2020,4,27
57,Walmart,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,55.0,975,53625.0,16088.0,Outlet,2020,4,28
58,Walmart,2020-04-29,Northeast,New York,New York,Women's Street Footwear,55.0,920,50600.0,17710.0,Outlet,2020,4,29
59,Walmart,2020-04-30,Northeast,New York,New York,Women's Athletic Footwear,55.0,900,49500.0,17325.0,Outlet,2020,4,30
60,Walmart,2020-05-01,Northeast,New York,New York,Men's Apparel,65.0,875,56875.0,17063.0,Outlet,2020,5,1
61,Walmart,2020-05-02,Northeast,New York,New York,Women's Apparel,70.0,975,68250.0,17063.0,Outlet,2020,5,2
62,Walmart,2020-05-03,Northeast,New York,New York,Men's Street Footwear,65.0,"1,200",78000.0,39000.0,Outlet,2020,5,3
63,Walmart,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,55.0,"1,000",55000.0,16500.0,Outlet,2020,5,4
64,Walmart,2020-05-05,Northeast,New York,New York,Women's Street Footwear,55.0,950,52250.0,18288.0,Outlet,2020,5,5
65,Walmart,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,55.0,900,49500.0,17325.0,Outlet,2020,5,6
66,Walmart,2020-05-07,Northeast,New York,New York,Men's Apparel,65.0,900,58500.0,17550.0,Outlet,2020,5,7
67,Walmart,2020-07-18,Northeast,New York,New York,Women's Apparel,70.0,"1,000",70000.0,17500.0,Outlet,2020,7,18
68,Sports Direct,2020-07-19,Northeast,New York,New York,Men's Street Footwear,25.0,900,22500.0,7875.0,Outlet,2020,7,19
69,Sports Direct,2020-07-20,Northeast,New York,New York,Men's Athletic Footwear,35.0,900,31500.0,11025.0,Outlet,2020,7,20
70,Sports Direct,2020-07-21,Northeast,New York,New York,Women's Street Footwear,35.0,700,24500.0,8575.0,Outlet,2020,7,21
71,Sports Direct,2020-07-22,Northeast,New York,New York,Women's Athletic Footwear,35.0,700,24500.0,11025.0,Outlet,2020,7,22
72,Sports Direct,2020-07-23,South,Texas,Houston,Men's Apparel,40.0,550,22000.0,6600.0,Outlet,2020,7,23
73,Sports Direct,2020-07-24,South,Texas,houston,Women's Apparel,35.0,700,24500.0,12250.0,Outlet,2020,7,24
74,Sports Direct,2020-07-25,South,Texas,Houston,Men's Street Footwear,25.0,850,21250.0,7438.0,Outlet,2020,7,25
75,Sports Direct,2020-07-26,South,Texas,Houston,Men's Athletic Footwear,35.0,850,29750.0,10413.0,Outlet,2020,7,26
76,Sports Direct,2020-07-27,West,Texas,Houston,Women's Street Footwear,35.0,675,23625.0,8269.0,Outlet,2020,7,27
77,Sports Direct,2020-07-28,South,Texas,Houston,Women's Athletic Footwear,35.0,625,21875.0,9844.0,Outlet,2020,7,28
78,Sports Direct,2020-07-29,South,Texas,Houston,Men's Apparel,45.21563342318059,500,20000.0,6000.0,Outlet,2020,7,29
79,Sports Direct,2020-07-30,South,Texas,Houston,Women's Apparel,35.0,700,24500.0,12250.0,Outlet,2020,7,30
80,Sports Direct,2020-07-31,South,Texas,Houston,Men's Street Footwear,30.0,875,26250.0,9188.0,Outlet,2020,7,31
81,Sports Direct,2020-08-01,West,Texas,Houston,Men's Athletic Footwear,40.0,875,35000.0,12250.0,Outlet,2020,8,1
82,Sports Direct,2020-08-02,South,Texas,Houston,Women's Street Footwear,35.0,700,24500.0,8575.0,Outlet,2020,8,2
83,Sports Direct,2020-08-03,South,Texas,Houston,Women's Athletic Footwear,40.0,600,24000.0,10800.0,Outlet,2020,8,3
84,Sports Direct,2020-08-04,South,Texas,Houston,Men's Apparel,45.0,500,22500.0,6750.0,Outlet,2020,8,4
85,Sports Direct,2020-08-05,South,Texas,houston,Women's Apparel,40.0,650,26000.0,13000.0,Outlet,2020,8,5
86,Sports Direct,2020-08-06,South,Texas,Houston,Men's Street Footwear,30.0,900,27000.0,9450.0,Outlet,2020,8,6
87,Sports Direct,2020-08-07,South,Texas,Houston,Men's Athletic Footwear,40.0,900,36000.0,12600.0,Outlet,2020,8,7
88,Sports Direct,2020-08-08,South,Texas,Houston,Women's Street Footwear,35.0,725,25375.0,8881.0,Outlet,2020,8,8
89,Sports Direct,2020-08-09,South,Texas,Houston,Women's Athletic Footwear,40.0,625,25000.0,11250.0,Outlet,2020,8,9
90,Walmart,2020-08-10,South,Texas,Houston,Men's Apparel,45.0,525,23625.0,7088.0,Outlet,2020,8,10
91,Walmart,2020-08-11,South,Texas,Houston,Women's Apparel,40.0,800,32000.0,16000.0,Outlet,2020,8,11
92,Walmart,2020-08-12,South,Texas,Houston,Men's Street Footwear,30.0,925,27750.0,9713.0,Outlet,2020,8,12
93,Walmart,2020-08-13,South,Texas,Houston,Men's Athletic Footwear,40.0,925,37000.0,12950.0,Outlet,2020,8,13
94,Walmart,2020-08-14,South,Texas,Houston,Women's Street Footwear,35.0,775,27125.0,9494.0,Outlet,2020,8,14
95,Walmart,2020-08-15,South,Texas,Houston,Women's Athletic Footwear,40.0,700,28000.0,12600.0,Outlet,2020,8,15
96,Walmart,2020-08-16,South,Texas,Houston,Men's Apparel,45.0,600,27000.0,8100.0,Outlet,2020,8,16
97,Walmart,2020-08-17,South,Texas,Houston,Women's Apparel,40.0,950,38000.0,19000.0,Outlet,2020,8,17
98,Walmart,2020-08-18,South,Texas,Houston,Men's Street Footwear,40.0,950,38000.0,13300.0,Outlet,2020,8,18
99,Walmart,2020-08-19,South,Texas,Houston,Men's Athletic Footwear,45.0,950,42750.0,14963.0,Outlet,2020,8,19
100,Walmart,2020-08-20,South,Texas,Houston,Women's Street Footwear,40.0,800,32000.0,11200.0,Outlet,2020,8,20
101,Walmart,2020-08-21,South,Texas,Houston,Women's Athletic Footwear,40.0,750,30000.0,13500.0,Outlet,2020,8,21
102,Walmart,2020-08-22,South,Texas,Houston,Men's Apparel,45.0,650,29250.0,8775.0,Outlet,2020,8,22
103,Walmart,2020-08-23,South,Texas,Houston,Women's Apparel,50.0,"1,000",50000.0,25000.0,Outlet,2020,8,23
104,Walmart,2020-08-24,South,Texas,Houston,Men's Street Footwear,40.0,950,38000.0,13300.0,Outlet,2020,8,24
105,Walmart,2020-08-25,South,Texas,Houston,Men's Athletic Footwear,45.0,950,42750.0,14963.0,Outlet,2020,8,25
106,Walmart,2020-08-26,South,Texas,Houston,Women's Street Footwear,40.0,"1,100",44000.0,15400.0,Outlet,2020,8,26
107,Walmart,2020-08-27,South,Texas,Houston,Women's Athletic Footwear,40.0,700,28000.0,12600.0,Outlet,2020,8,27
108,Walmart,2020-08-28,South,Texas,Houston,Men's Apparel,45.0,700,31500.0,9450.0,Outlet,2020,8,28
109,Walmart,2020-08-29,South,Texas,Houston,Women's Apparel,50.0,975,48750.0,24375.0,Outlet,2020,8,29
110,Walmart,2020-08-30,South,Texas,Houston,Men's Street Footwear,40.0,925,37000.0,12950.0,Outlet,2020,8,30
111,Walmart,2020-08-31,South,Texas,Houston,Men's Athletic Footwear,45.0,925,41625.0,14569.0,Outlet,2020,8,31
112,Walmart,2020-09-01,South,Texas,Houston,Women's Street Footwear,40.0,"1,100",44000.0,15400.0,Outlet,2020,9,1
113,Walmart,2020-09-02,South,Texas,Houston,Women's Athletic Footwear,40.0,650,26000.0,11700.0,Outlet,2020,9,2
114,Walmart,2020-09-03,South,Texas,Houston,Men's Apparel,45.0,650,29250.0,8775.0,Outlet,2020,9,3
115,Walmart,2020-09-04,South,Texas,Houston,Women's Apparel,50.0,900,45000.0,22500.0,Outlet,2020,9,4
116,Walmart,2020-09-05,South,Texas,Houston,Men's Street Footwear,45.0,850,38250.0,13388.0,Outlet,2020,9,5
117,Walmart,2020-09-06,South,Texas,Houston,Men's Athletic Footwear,45.0,850,38250.0,13388.0,Outlet,2020,9,6
118,Walmart,2020-09-07,South,Texas,Houston,Women's Street Footwear,50.0,900,45000.0,15750.0,Outlet,2020,9,7
119,Walmart,2020-09-08,South,Texas,Houston,Women's Athletic Footwear,50.0,625,31250.0,14063.0,Outlet,2020,9,8
120,Walmart,2020-09-09,South,Texas,Houston,Men's Apparel,45.0,625,28125.0,8438.0,Outlet,2020,9,9
121,Walmart,2020-09-10,South,Texas,Houston,Women's Apparel,55.0,850,46750.0,23375.0,Outlet,2020,9,10
122,Walmart,2020-09-11,South,Texas,Houston,Men's Street Footwear,45.0,800,36000.0,12600.0,Outlet,2020,9,11
123,Walmart,2020-09-12,South,Texas,Houston,Men's Athletic Footwear,45.0,800,36000.0,12600.0,Outlet,2020,9,12
124,Walmart,2020-09-13,South,Texas,Houston,Women's Street Footwear,50.0,750,37500.0,13125.0,Outlet,2020,9,13
125,Walmart,2020-09-14,South,Texas,Houston,Women's Athletic Footwear,50.0,600,30000.0,13500.0,Outlet,2020,9,14
126,Walmart,2020-09-15,South,Texas,Houston,Men's Apparel,45.0,575,25875.0,7763.0,Outlet,2020,9,15
127,Walmart,2020-09-16,South,Texas,Houston,Women's Apparel,55.0,750,41250.0,20625.0,Outlet,2020,9,16
128,Walmart,2020-10-20,South,Texas,Houston,Men's Street Footwear,45.0,900,40500.0,14175.0,Outlet,2020,10,20
129,Walmart,2020-10-21,South,Texas,Houston,Men's Athletic Footwear,45.0,900,40500.0,14175.0,Outlet,2020,10,21
130,Walmart,2020-10-22,South,Texas,Houston,Women's Street Footwear,50.0,825,41250.0,14438.0,Outlet,2020,10,22
131,Walmart,2020-10-23,South,Texas,Houston,Women's Athletic Footwear,50.0,675,33750.0,15188.0,Outlet,2020,10,23
132,Walmart,2020-10-24,South,Texas,Houston,Men's Apparel,45.0,650,29250.0,8775.0,Outlet,2020,10,24
133,Walmart,2020-10-25,South,Texas,Houston,Women's Apparel,55.0,850,46750.0,23375.0,Outlet,2020,10,25
134,Walmart,2020-10-26,South,Texas,Houston,Men's Street Footwear,45.0,950,42750.0,14963.0,Outlet,2020,10,26
135,Walmart,2020-10-27,South,Texas,Houston,Men's Athletic Footwear,45.0,950,42750.0,14963.0,Outlet,2020,10,27
136,Walmart,2020-10-28,South,Texas,Houston,Women's Street Footwear,50.0,850,42500.0,14875.0,Outlet,2020,10,28
137,Walmart,2020-10-29,South,Texas,Houston,Women's Athletic Footwear,50.0,700,35000.0,15750.0,Outlet,2020,10,29
138,Walmart,2020-10-30,South,Texas,Houston,Men's Apparel,45.0,650,29250.0,8775.0,Outlet,2020,10,30
139,Walmart,2020-10-31,South,Texas,Houston,Women's Apparel,55.0,900,49500.0,24750.0,Outlet,2020,10,31
140,West Gear,2020-11-01,South,Texas,Houston,Men's Street Footwear,40.0,775,31000.0,10850.0,Outlet,2020,11,1
141,West Gear,2020-11-02,South,Texas,Houston,Men's Athletic Footwear,50.0,775,38750.0,7750.0,Outlet,2020,11,2
142,West Gear,2020-11-03,South,Texas,Houston,Women's Street Footwear,50.0,775,38750.0,13563.0,Outlet,2020,11,3
143,West Gear,2020-11-04,South,Texas,Houston,Women's Athletic Footwear,50.0,625,31250.0,9375.0,Outlet,2020,11,4
144,West Gear,2020-11-05,West,California,San Francisco,Men's Apparel,55.0,575,31625.0,15813.0,Outlet,2020,11,5
145,West Gear,2020-11-06,West,California,San Francisco,Women's Apparel,50.0,775,38750.0,5813.0,Outlet,2020,11,6
146,West Gear,2020-11-07,West,California,San Francisco,Men's Street Footwear,40.0,825,33000.0,11550.0,Outlet,2020,11,7
147,West Gear,2020-11-08,West,California,San Francisco,Men's Athletic Footwear,50.0,725,36250.0,7250.0,Outlet,2020,11,8
148,West Gear,2020-11-09,West,California,San Francisco,Women's Street Footwear,50.0,725,36250.0,12688.0,Outlet,2020,11,9
149,West Gear,2020-11-10,West,California,San Francisco,Women's Athletic Footwear,50.0,575,28750.0,8625.0,Outlet,2020,11,10
150,West Gear,2020-11-11,West,California,San Francisco,Men's Apparel,55.0,500,27500.0,13750.0,Outlet,2020,11,11
151,West Gear,2020-11-12,West,California,San Francisco,Women's Apparel,50.0,700,35000.0,5250.0,Outlet,2020,11,12
152,West Gear,2020-11-13,West,California,San Francisco,Men's Street Footwear,50.0,850,42500.0,14875.0,Outlet,2020,11,13
153,West Gear,2020-11-14,West,California,San Francisco,Men's Athletic Footwear,60.0,700,42000.0,8400.0,Outlet,2020,11,14
154,West Gear,2020-11-15,West,California,San Francisco,Women's Street Footwear,60.0,700,42000.0,14700.0,Outlet,2020,11,15
155,West Gear,2020-12-22,West,California,San Francisco,Women's Athletic Footwear,60.0,600,36000.0,10800.0,Outlet,2020,12,22
156,West Gear,2020-12-23,West,California,San Francisco,Men's Apparel,65.0,500,32500.0,16250.0,Outlet,2020,12,23
157,West Gear,2020-12-24,West,California,San Francisco,Women's Apparel,60.0,700,42000.0,6300.0,Outlet,2020,12,24
158,West Gear,2020-12-25,West,California,San Francisco,Men's Street Footwear,60.0,875,52500.0,18375.0,Outlet,2020,12,25
159,West Gear,2020-12-26,West,California,San Francisco,Men's Athletic Footwear,65.0,675,43875.0,8775.0,Outlet,2020,12,26
160,West Gear,2020-12-27,West,California,San Francisco,Women's Street Footwear,65.0,725,47125.0,16494.0,Outlet,2020,12,27
161,West Gear,2020-12-28,West,California,San Francisco,Women's Athletic Footwear,60.0,625,37500.0,11250.0,Outlet,2020,12,28
162,West Gear,2020-12-29,West,California,San Francisco,Men's Apparel,65.0,525,34125.0,17063.0,Outlet,2020,12,29
163,West Gear,2020-12-30,West,California,San Francisco,Women's Apparel,80.0,700,56000.0,8400.0,Outlet,2020,12,30
164,West Gear,2020-12-31,West,California,San Francisco,Men's Street Footwear,60.0,900,54000.0,21600.0,Outlet,2020,12,31
165,West Gear,2021-01-01,West,California,San Francisco,Men's Athletic Footwear,65.0,750,48750.0,12188.0,Outlet,2021,1,1
166,West Gear,2021-01-02,West,California,San Francisco,Women's Street Footwear,65.0,750,48750.0,19500.0,Outlet,2021,1,2
167,West Gear,2021-01-03,West,California,San Francisco,Women's Athletic Footwear,60.0,650,39000.0,13650.0,Outlet,2021,1,3
168,West Gear,2021-01-04,West,California,San Francisco,Men's Apparel,65.0,550,35750.0,19663.0,Outlet,2021,1,4
169,West Gear,2021-01-05,West,California,San Francisco,Women's Apparel,80.0,725,58000.0,11600.0,Outlet,2021,1,5
170,West Gear,2021-01-06,West,California,San Francisco,Men's Street Footwear,60.0,975,58500.0,23400.0,Outlet,2021,1,6
171,West Gear,2021-01-07,West,California,San Francisco,Men's Athletic Footwear,65.0,825,53625.0,13406.0,Outlet,2021,1,7
172,West Gear,2021-01-08,West,California,San Francisco,Women's Street Footwear,65.0,825,53625.0,21450.0,Outlet,2021,1,8
173,West Gear,2021-01-09,West,California,San Francisco,Women's Athletic Footwear,60.0,700,42000.0,14700.0,Outlet,2021,1,9
174,West Gear,2021-01-10,West,California,San Francisco,Men's Apparel,65.0,575,37375.0,20556.0,Outlet,2021,1,10
175,West Gear,2021-01-11,West,California,San Francisco,Women's Apparel,80.0,875,70000.0,14000.0,Outlet,2021,1,11
176,West Gear,2021-01-12,West,California,San Francisco,Men's Street Footwear,60.0,"1,025",61500.0,21525.0,Outlet,2021,1,12
177,West Gear,2021-01-13,West,California,San Francisco,Men's Athletic Footwear,65.0,875,56875.0,11375.0,Outlet,2021,1,13
178,West Gear,2021-01-14,West,California,San Francisco,Women's Street Footwear,65.0,825,53625.0,18769.0,Outlet,2021,1,14
179,West Gear,2021-01-15,West,California,San Francisco,Women's Athletic Footwear,60.0,725,43500.0,13050.0,Outlet,2021,1,15
180,West Gear,2021-01-16,West,California,San Francisco,Men's Apparel,65.0,775,50375.0,25188.0,Outlet,2021,1,16
181,West Gear,2021-01-17,West,California,San Francisco,Women's Apparel,80.0,775,62000.0,9300.0,Outlet,2021,1,17
182,West Gear,2021-01-18,West,California,San Francisco,Men's Street Footwear,65.0,975,63375.0,22181.0,Outlet,2021,1,18
183,West Gear,2021-01-19,West,California,San Francisco,Men's Athletic Footwear,70.0,925,64750.0,12950.0,Outlet,2021,1,19
184,West Gear,2021-01-20,West,California,San Francisco,Women's Street Footwear,65.0,800,52000.0,18200.0,Outlet,2021,1,20
185,West Gear,2021-01-21,West,California,San Francisco,Women's Athletic Footwear,65.0,750,48750.0,14625.0,Outlet,2021,1,21
186,West Gear,2021-01-22,West,California,San Francisco,Men's Apparel,75.0,750,56250.0,28125.0,Outlet,2021,1,22
187,West Gear,2021-01-23,West,California,San Francisco,Women's Apparel,80.0,725,58000.0,8700.0,Outlet,2021,1,23
188,West Gear,2021-01-24,West,California,San Francisco,Men's Street Footwear,55.0,925,50875.0,15263.0,Outlet,2021,1,24
189,West Gear,2021-01-25,West,California,San Francisco,Men's Athletic Footwear,60.0,925,55500.0,8325.0,Outlet,2021,1,25
190,West Gear,2021-01-26,West,California,San Francisco,Women's Street Footwear,55.0,775,42625.0,12788.0,Outlet,2021,1,26
191,West Gear,2021-01-27,West,California,San Francisco,Women's Athletic Footwear,55.0,725,39875.0,9969.0,Outlet,2021,1,27
192,West Gear,2021-01-28,West,California,San Francisco,Men's Apparel,65.0,725,47125.0,21206.0,Outlet,2021,1,28
193,West Gear,2021-01-29,West,California,San Francisco,Women's Apparel,70.0,775,54250.0,5425.0,Outlet,2021,1,29
194,West Gear,2021-01-30,West,California,San Francisco,Men's Street Footwear,55.0,875,48125.0,14438.0,Outlet,2021,1,30
195,West Gear,2021-01-31,West,California,San Francisco,Men's Athletic Footwear,60.0,875,52500.0,7875.0,Outlet,2021,1,31
196,West Gear,2021-02-01,West,California,San Francisco,Women's Street Footwear,55.0,700,38500.0,11550.0,Outlet,2021,2,1
197,West Gear,2021-02-02,West,California,San Francisco,Women's Athletic Footwear,55.0,675,37125.0,9281.0,Outlet,2021,2,2
198,West Gear,2021-02-03,West,California,San Francisco,Men's Apparel,65.0,650,42250.0,19013.0,Outlet,2021,2,3
199,West Gear,2021-02-04,West,California,San Francisco,Women's Apparel,70.0,700,49000.0,4900.0,Outlet,2021,2,4
200,West Gear,2021-02-05,West,California,San Francisco,Men's Street Footwear,55.0,875,48125.0,14438.0,Outlet,2021,2,5
201,West Gear,2021-02-06,West,California,San Francisco,Men's Athletic Footwear,60.0,875,52500.0,7875.0,Outlet,2021,2,6
202,West Gear,2021-02-07,West,California,San Francisco,Women's Street Footwear,55.0,725,39875.0,11963.0,Outlet,2021,2,7
203,West Gear,2021-02-08,West,California,San Francisco,Women's Athletic Footwear,55.0,700,38500.0,9625.0,Outlet,2021,2,8
204,West Gear,2021-02-09,West,California,San Francisco,Men's Apparel,65.0,650,42250.0,19013.0,Outlet,2021,2,9
205,West Gear,2021-02-10,West,California,San Francisco,Women's Apparel,70.0,775,54250.0,5425.0,Outlet,2021,2,10
206,West Gear,2021-02-11,West,California,San Francisco,Men's Street Footwear,55.0,975,53625.0,16088.0,Outlet,2021,2,11
207,West Gear,2021-02-12,West,California,San Francisco,Men's Athletic Footwear,60.0,975,58500.0,8775.0,Outlet,2021,2,12
208,West Gear,2021-02-13,West,California,San Francisco,Women's Street Footwear,55.0,775,42625.0,12788.0,Outlet,2021,2,13
209,West Gear,2021-02-14,West,California,San Francisco,Women's Athletic Footwear,55.0,775,42625.0,10656.0,Outlet,2021,2,14
210,West Gear,2021-02-15,West,California,San Francisco,Men's Apparel,65.0,700,45500.0,20475.0,Outlet,2021,2,15
211,West Gear,2021-02-16,West,California,San Francisco,Women's Apparel,70.0,800,56000.0,5600.0,Outlet,2021,2,16
212,Kohl's,2021-02-17,West,California,San Francisco,Men's Street Footwear,35.0,700,24500.0,9800.0,Outlet,2021,2,17
213,Kohl's,2021-02-18,West,California,San Francisco,Men's Athletic Footwear,45.0,700,31500.0,7875.0,Outlet,2021,2,18
214,Kohl's,2021-03-09,West,California,San Francisco,Women's Street Footwear,45.0,700,31500.0,12600.0,Outlet,2021,3,9
215,Kohl's,2021-03-10,West,California,San Francisco,Women's Athletic Footwear,45.0,550,24750.0,8663.0,Outlet,2021,3,10
216,Kohl's,2021-03-11,West,California,Los Angeles,Men's Apparel,50.0,500,25000.0,13750.0,Outlet,2021,3,11
217,Kohl's,2021-03-12,West,California,Los Angeles,Women's Apparel,45.0,700,31500.0,6300.0,Outlet,2021,3,12
